iter	MultiClass
0	1.383292961
1	1.380443345
2	1.377517214
3	1.374611483
4	1.371799655
5	1.369027263
6	1.36653915
7	1.363962809
8	1.361389445
9	1.358927143
10	1.356427988
11	1.353960526
12	1.351792349
13	1.349461779
14	1.347172819
15	1.345007981
16	1.342840185
17	1.340665307
18	1.338609671
19	1.336515714
20	1.334601195
21	1.332764292
22	1.330834552
23	1.328951315
24	1.327066334
25	1.325312202
26	1.323461884
27	1.321710845
28	1.320047093
29	1.318297727
30	1.316699613
31	1.315071516
32	1.313396521
33	1.311809743
34	1.310246079
35	1.308702225
36	1.307224275
37	1.305717421
38	1.30425448
39	1.302760884
40	1.301318636
41	1.299925897
42	1.29850781
43	1.297197257
44	1.295918783
45	1.294642053
46	1.293358534
47	1.292149551
48	1.290932164
49	1.289792176
50	1.288634508
51	1.287521026
52	1.286330467
53	1.28525906
54	1.28408771
55	1.282903694
56	1.281849062
57	1.28082461
58	1.279829123
59	1.278723572
60	1.27775704
61	1.276737307
62	1.275733519
63	1.274724724
64	1.273724184
65	1.272785459
66	1.271786311
67	1.270900768
68	1.269936689
69	1.26905586
70	1.268181046
71	1.267271855
72	1.266363115
73	1.26552991
74	1.264760741
75	1.2639624
76	1.263168915
77	1.262347603
78	1.26155329
79	1.260813199
80	1.260035512
81	1.259317463
82	1.258591346
83	1.257866556
84	1.257105316
85	1.256399817
86	1.255704034
87	1.255023575
88	1.254301974
89	1.25362031
90	1.252951587
91	1.252299788
92	1.251606179
93	1.250946207
94	1.250317417
95	1.249671398
96	1.249091916
97	1.248481311
98	1.247875689
99	1.247280074
100	1.246701997
101	1.246168036
102	1.245598141
103	1.245071223
104	1.244559933
105	1.243991535
106	1.243480347
107	1.242961206
108	1.242449448
109	1.241948459
110	1.241457253
111	1.240962608
112	1.240497375
113	1.239992368
114	1.239540774
115	1.239028223
116	1.238556578
117	1.238098778
118	1.237628085
119	1.237178707
120	1.236696663
121	1.236279468
122	1.235888539
123	1.235445543
124	1.234999181
125	1.234561628
126	1.23412294
127	1.233707587
128	1.23329349
129	1.232929717
130	1.232596346
131	1.232203658
132	1.231823143
133	1.231449284
134	1.231078153
135	1.230725907
136	1.230360843
137	1.229990488
138	1.229635181
139	1.229291162
140	1.228967291
141	1.228592559
142	1.228248595
143	1.227912263
144	1.22758957
145	1.227265581
146	1.226933274
147	1.226575663
148	1.226265954
149	1.225931261
150	1.225584349
151	1.225272753
152	1.224962992
153	1.224638216
154	1.224338577
155	1.224006173
156	1.22366826
157	1.223356933
158	1.223038604
159	1.222773565
160	1.222453395
161	1.222168012
162	1.221897911
163	1.221630548
164	1.221377084
165	1.221073396
166	1.220775944
167	1.220527488
168	1.220281448
169	1.220033282
170	1.219784201
171	1.219562851
172	1.219332989
173	1.219110441
174	1.218868387
175	1.218623835
176	1.218388221
177	1.21815287
178	1.217924921
179	1.217693446
180	1.217460564
181	1.217234157
182	1.216995455
183	1.216774183
184	1.216547423
185	1.216338176
186	1.216147834
187	1.215904878
188	1.215677476
189	1.215437133
190	1.21523231
191	1.215011774
192	1.214803567
193	1.214569979
194	1.214364043
195	1.214146204
196	1.213946493
197	1.213727458
198	1.213526348
199	1.213312066
200	1.213105376
201	1.212903867
202	1.212702063
203	1.21250631
204	1.212315714
205	1.212102557
206	1.211898271
207	1.211715867
208	1.211527161
209	1.211354422
210	1.211165256
211	1.210976032
212	1.210786311
213	1.210619372
214	1.210447849
215	1.210265791
216	1.210076982
217	1.209911137
218	1.209753029
219	1.209613934
220	1.209441801
221	1.209264791
222	1.209114122
223	1.208938713
224	1.208756671
225	1.208597084
226	1.208431814
227	1.208276038
228	1.208117949
229	1.207926228
230	1.207778968
231	1.207609627
232	1.207443164
233	1.207289895
234	1.207129243
235	1.206979906
236	1.206832878
237	1.206637574
238	1.206491028
239	1.206337146
240	1.206167003
241	1.206017694
242	1.205850513
243	1.205716161
244	1.205590102
245	1.205433539
246	1.20527074
247	1.20516905
248	1.205042218
249	1.204910419
250	1.204758569
251	1.204607188
252	1.20448523
253	1.20435897
254	1.204230405
255	1.204110216
256	1.203975964
257	1.203846127
258	1.203713005
259	1.20357322
260	1.203461823
261	1.20333715
262	1.203196121
263	1.203045618
264	1.202922117
265	1.202799441
266	1.202671381
267	1.202529105
268	1.202407614
269	1.202281474
270	1.202186908
271	1.202084909
272	1.201955382
273	1.201843065
274	1.201722423
275	1.201605611
276	1.201488797
277	1.201380815
278	1.201266607
279	1.201153328
280	1.201024056
281	1.200897642
282	1.200795528
283	1.200685774
284	1.200568816
285	1.200468327
286	1.200362585
287	1.200268472
288	1.2001309
289	1.200032439
290	1.199959518
291	1.199857203
292	1.199733716
293	1.199630135
294	1.199514389
295	1.199410757
296	1.199328088
297	1.199232927
298	1.199111665
299	1.199002675
300	1.198906537
301	1.198762556
302	1.198697037
303	1.198605443
304	1.198479801
305	1.198384885
306	1.198285403
307	1.198181315
308	1.198097065
309	1.197999779
310	1.197891934
311	1.197773238
312	1.197680253
313	1.197598592
314	1.197478246
315	1.197372892
316	1.197262512
317	1.19718513
318	1.197105401
319	1.197005812
320	1.196922018
321	1.196786916
322	1.196694375
323	1.196602381
324	1.196497237
325	1.196381423
326	1.196279598
327	1.196162268
328	1.196078197
329	1.195976038
330	1.195896948
331	1.195813926
332	1.195728259
333	1.195634446
334	1.195533453
335	1.195440422
336	1.19531167
337	1.195210594
338	1.195111665
339	1.195015064
340	1.194917731
341	1.194827009
342	1.194753859
343	1.194656259
344	1.194585298
345	1.194517586
346	1.194427031
347	1.194331539
348	1.194269264
349	1.19416099
350	1.194071157
351	1.19395102
352	1.19389839
353	1.19381078
354	1.193710464
355	1.193642432
356	1.193536278
357	1.193458212
358	1.193340569
359	1.193227675
360	1.193156561
361	1.193060996
362	1.192964135
363	1.192837052
364	1.192782014
365	1.192717273
366	1.192641548
367	1.192554942
368	1.192460851
369	1.19237776
370	1.19228717
371	1.192213522
372	1.192157826
373	1.192078792
374	1.191996628
375	1.191921444
376	1.191825124
377	1.191737828
378	1.19164577
379	1.191575219
380	1.191494788
381	1.191445674
382	1.191369255
383	1.191294941
384	1.191201351
385	1.19113786
386	1.191058884
387	1.190981142
388	1.190865922
389	1.190819841
390	1.190713112
391	1.190651061
392	1.19058516
393	1.190510748
394	1.190418679
395	1.190334686
396	1.190274598
397	1.190196653
398	1.190118433
399	1.19003721
400	1.18994682
401	1.189880622
402	1.189808482
403	1.189684751
404	1.189630398
405	1.189549755
406	1.189463341
407	1.189421483
408	1.189382368
409	1.189300892
410	1.18922864
411	1.189152849
412	1.189087618
413	1.189026867
414	1.188944049
415	1.188850845
416	1.188766798
417	1.188717497
418	1.188614854
419	1.188533201
420	1.188486332
421	1.188412646
422	1.188328999
423	1.188277516
424	1.188218792
425	1.188170966
426	1.188127929
427	1.188057852
428	1.187974211
429	1.187912774
430	1.187832297
431	1.187778639
432	1.18769577
433	1.187653712
434	1.187574057
435	1.18749902
436	1.18743447
437	1.187356717
438	1.187274103
439	1.187237313
440	1.187194411
441	1.187117375
442	1.187070252
443	1.186996915
444	1.18693416
445	1.186863686
446	1.186798634
447	1.186734537
448	1.186677866
449	1.186617766
450	1.186566639
451	1.186500369
452	1.186420728
453	1.186362887
454	1.186282759
455	1.186183975
456	1.186117514
457	1.186055164
458	1.185992738
459	1.185947425
460	1.185902654
461	1.185816859
462	1.185757021
463	1.185681737
464	1.185649436
465	1.185602393
466	1.185532081
467	1.185459744
468	1.185412089
469	1.185371607
470	1.185326879
471	1.185278472
472	1.185183666
473	1.185130086
474	1.185081456
475	1.185014783
476	1.184938363
477	1.184875146
478	1.184829043
479	1.184784046
480	1.184738608
481	1.184676568
482	1.184621412
483	1.184565763
484	1.18450999
485	1.184453386
486	1.184390332
487	1.184326867
488	1.184262054
489	1.184205571
490	1.184148624
491	1.184122117
492	1.18408819
493	1.184028993
494	1.183972072
495	1.183888252
496	1.183854582
497	1.183809114
498	1.183767892
499	1.183697267
