iter	Passed	Remaining
0	290	144920
1	418	104238
2	540	89516
3	669	82986
4	786	77897
5	908	74828
6	1065	75035
7	1215	74781
8	1328	72464
9	1438	70501
10	1558	69287
11	1679	68306
12	1801	67483
13	1907	66220
14	2054	66437
15	2228	67399
16	2349	66741
17	2465	66027
18	2604	65933
19	2745	65897
20	2880	65705
21	3008	65370
22	3164	65623
23	3305	65560
24	3453	65619
25	3575	65192
26	3699	64801
27	3812	64273
28	3972	64520
29	4104	64307
30	4227	63952
31	4355	63703
32	4482	63435
33	4602	63085
34	4744	63037
35	4908	63262
36	5038	63051
37	5180	62984
38	5314	62814
39	5427	62418
40	5542	62053
41	5664	61769
42	5794	61582
43	5911	61262
44	6037	61048
45	6158	60778
46	6285	60577
47	6394	60210
48	6511	59934
49	6624	59616
50	6721	59174
51	6820	58761
52	6928	58438
53	7038	58135
54	7169	58005
55	7281	57731
56	7395	57474
57	7505	57194
58	7609	56879
59	7724	56646
60	7826	56326
61	7918	55943
62	8019	55626
63	8140	55460
64	8252	55228
65	8373	55061
66	8472	54754
67	8570	54450
68	8688	54269
69	8916	54774
70	9027	54545
71	9144	54356
72	9253	54127
73	9347	53812
74	9455	53581
75	9550	53283
76	9646	52995
77	9749	52746
78	9858	52534
79	9964	52313
80	10088	52184
81	10234	52170
82	10357	52038
83	10455	51779
84	10552	51518
85	10640	51221
86	10741	50991
87	10835	50731
88	10922	50441
89	11024	50224
90	11122	49990
91	11235	49828
92	11336	49611
93	11457	49484
94	11562	49292
95	11677	49141
96	11773	48914
97	11869	48689
98	11968	48479
99	12084	48339
100	12191	48162
101	12282	47925
102	12392	47764
103	12493	47571
104	12592	47373
105	12712	47252
106	12825	47107
107	12945	46986
108	13052	46820
109	13187	46755
110	13299	46608
111	13399	46420
112	13514	46284
113	13622	46126
114	13725	45949
115	13827	45774
116	13932	45609
117	14061	45521
118	14200	45464
119	14291	45256
120	14387	45063
121	14483	44876
122	14570	44659
123	14660	44455
124	14753	44261
125	14836	44038
126	14935	43866
127	15042	43718
128	15173	43639
129	15304	43557
130	15424	43449
131	15503	43221
132	15581	42995
133	15678	42822
134	15762	42617
135	15846	42412
136	15936	42225
137	16039	42075
138	16150	41944
139	16256	41801
140	16354	41641
141	16448	41469
142	16556	41334
143	16684	41248
144	16786	41097
145	16876	40918
146	16977	40768
147	17070	40600
148	17171	40450
149	17262	40278
150	17353	40107
151	17440	39929
152	17530	39759
153	17612	39571
154	17714	39429
155	17838	39335
156	17956	39230
157	18071	39117
158	18183	38996
159	18278	38842
160	18367	38673
161	18447	38489
162	18528	38307
163	18620	38149
164	18711	37989
165	18798	37823
166	18895	37678
167	19010	37567
168	19158	37523
169	19271	37408
170	19350	37230
171	19441	37075
172	19521	36899
173	19621	36762
174	19712	36608
175	19794	36440
176	19878	36274
177	19965	36116
178	20061	35976
179	20165	35849
180	20288	35756
181	20413	35667
182	20512	35531
183	20588	35359
184	20689	35227
185	20780	35080
186	20861	34918
187	20950	34769
188	21044	34628
189	21158	34522
190	21256	34388
191	21334	34224
192	21453	34125
193	21564	34014
194	21677	33906
195	21784	33787
196	21863	33627
197	21964	33500
198	22040	33338
199	22121	33182
200	22240	33083
201	22333	32948
202	22429	32815
203	22514	32668
204	22606	32531
205	22702	32400
206	22776	32239
207	22890	32135
208	23011	32040
209	23107	31909
210	23209	31788
211	23286	31634
212	23375	31495
213	23478	31378
214	23558	31228
215	23641	31083
216	23746	30969
217	23836	30833
218	23906	30674
219	23981	30521
220	24075	30394
221	24213	30321
222	24313	30201
223	24391	30054
224	24494	29938
225	24574	29793
226	24651	29646
227	24730	29503
228	24811	29361
229	24888	29216
230	24972	29081
231	25047	28934
232	25143	28813
233	25250	28703
234	25337	28572
235	25432	28450
236	25551	28354
237	25643	28229
238	25719	28086
239	25797	27946
240	25887	27820
241	25986	27704
242	26068	27570
243	26165	27452
244	26270	27342
245	26367	27224
246	26462	27105
247	26538	26966
248	26620	26834
249	26728	26728
250	26832	26618
251	26917	26490
252	26997	26357
253	27097	26244
254	27174	26108
255	27259	25982
256	27338	25848
257	27418	25718
258	27503	25592
259	27592	25470
260	27668	25336
261	27756	25214
262	27829	25078
263	27934	24972
264	28076	24897
265	28190	24799
266	28301	24697
267	28395	24581
268	28478	24455
269	28566	24334
270	28652	24212
271	28743	24094
272	28844	23984
273	28942	23872
274	29015	23740
275	29118	23632
276	29296	23585
277	29469	23533
278	29575	23426
279	29674	23315
280	29765	23198
281	29863	23086
282	29941	22958
283	30020	22832
284	30120	22722
285	30227	22617
286	30342	22519
287	30449	22414
288	30555	22309
289	30683	22219
290	30908	22198
291	31015	22093
292	31095	21968
293	31188	21852
294	31276	21734
295	31360	21613
296	31458	21501
297	31543	21382
298	31627	21261
299	31726	21151
300	31796	21021
301	31884	20904
302	31976	20789
303	32101	20696
304	32206	20590
305	32286	20468
306	32375	20353
307	32449	20228
308	32525	20104
309	32619	19992
310	32709	19878
311	32806	19768
312	32881	19645
313	32962	19525
314	33063	19418
315	33162	19309
316	33278	19211
317	33394	19112
318	33489	19001
319	33570	18883
320	33671	18776
321	33762	18663
322	33840	18544
323	33913	18422
324	33986	18300
325	34067	18183
326	34194	18090
327	34304	17988
328	34376	17867
329	34489	17767
330	34573	17652
331	34702	17560
332	34798	17451
333	34879	17335
334	34975	17226
335	35059	17112
336	35145	16999
337	35230	16885
338	35301	16765
339	35380	16649
340	35449	16529
341	35524	16411
342	35598	16294
343	35684	16182
344	35760	16066
345	35877	15968
346	35990	15868
347	36088	15762
348	36157	15644
349	36258	15539
350	36371	15439
351	36458	15328
352	36533	15213
353	36627	15106
354	36710	14994
355	36822	14894
356	36893	14778
357	36974	14665
358	37048	14551
359	37141	14443
360	37272	14351
361	37376	14248
362	37448	14133
363	37514	14016
364	37581	13899
365	37661	13788
366	37742	13677
367	37828	13568
368	37910	13458
369	37977	13343
370	38083	13242
371	38169	13133
372	38267	13029
373	38358	12923
374	38449	12816
375	38564	12718
376	38665	12615
377	38763	12511
378	38850	12403
379	38921	12290
380	39003	12182
381	39074	12070
382	39162	11963
383	39271	11863
384	39364	11758
385	39463	11655
386	39558	11550
387	39641	11442
388	39764	11346
389	39871	11245
390	39965	11141
391	40033	11029
392	40112	10921
393	40213	10818
394	40302	10713
395	40394	10608
396	40459	10497
397	40550	10392
398	40626	10283
399	40711	10177
400	40815	10076
401	40908	9972
402	40999	9868
403	41111	9769
404	41208	9666
405	41299	9562
406	41376	9454
407	41444	9345
408	41509	9235
409	41604	9132
410	41675	9024
411	41758	8919
412	41833	8812
413	41926	8709
414	42027	8608
415	42092	8499
416	42177	8395
417	42293	8296
418	42444	8205
419	42537	8102
420	42608	7995
421	42678	7888
422	42770	7785
423	42860	7682
424	42928	7575
425	43012	7471
426	43081	7365
427	43148	7258
428	43238	7156
429	43336	7054
430	43427	6952
431	43511	6849
432	43627	6750
433	43746	6652
434	43833	6549
435	43913	6446
436	43987	6341
437	44079	6239
438	44159	6136
439	44229	6031
440	44318	5929
441	44404	5826
442	44510	5727
443	44588	5623
444	44666	5520
445	44764	5419
446	44869	5320
447	44974	5220
448	45076	5120
449	45159	5017
450	45235	4914
451	45329	4813
452	45422	4712
453	45505	4610
454	45609	4510
455	45684	4408
456	45745	4304
457	45811	4201
458	45887	4098
459	45969	3997
460	46037	3894
461	46198	3799
462	46309	3700
463	46379	3598
464	46449	3496
465	46527	3394
466	46605	3293
467	46688	3192
468	46758	3090
469	46824	2988
470	46891	2887
471	46972	2786
472	47059	2686
473	47151	2586
474	47231	2485
475	47334	2386
476	47434	2287
477	47545	2188
478	47630	2088
479	47699	1987
480	47782	1887
481	47853	1787
482	48170	1695
483	48430	1600
484	48605	1503
485	48796	1405
486	48921	1305
487	49068	1206
488	49237	1107
489	49372	1007
490	49490	907
491	49586	806
492	49701	705
493	49799	604
494	49953	504
495	50124	404
496	50310	303
497	50404	202
498	50485	101
499	50593	0
