iter	MultiClass
0	1.354188176
1	1.328969362
2	1.308339881
3	1.291150591
4	1.276717625
5	1.264402559
6	1.253826255
7	1.244647239
8	1.236605974
9	1.230133194
10	1.224242746
11	1.218641649
12	1.214312769
13	1.210242308
14	1.206969421
15	1.203806402
16	1.201052092
17	1.198490919
18	1.196013855
19	1.193740749
20	1.191491742
21	1.189850034
22	1.188419885
23	1.186779369
24	1.18547855
25	1.184105586
26	1.182699583
27	1.181503469
28	1.18049646
29	1.179207084
30	1.178100984
31	1.176928643
32	1.176053596
33	1.175208637
34	1.174490618
35	1.1737999
36	1.172961757
37	1.171851586
38	1.171149484
39	1.170690985
40	1.16974726
41	1.168769437
42	1.168127874
43	1.167421651
44	1.166821286
45	1.166390332
46	1.165995715
47	1.165552223
48	1.165154885
49	1.164454607
50	1.163773089
51	1.163156308
52	1.162257719
53	1.161864553
54	1.16118783
55	1.160677188
56	1.160279393
57	1.159796722
58	1.159051251
59	1.158720504
60	1.158131859
61	1.157656414
62	1.157067291
63	1.156601408
64	1.156176736
65	1.155759204
66	1.155415364
67	1.155071107
68	1.154437127
69	1.154144905
70	1.153688965
71	1.153534958
72	1.153295497
73	1.152740605
74	1.152358176
75	1.15193685
76	1.151701105
77	1.151477368
78	1.151070038
79	1.150859954
80	1.150406701
81	1.150099563
82	1.149663741
83	1.149271709
84	1.148886537
85	1.148600375
86	1.148181092
87	1.147873638
88	1.147617107
89	1.14723911
90	1.146903932
91	1.146445478
92	1.146122778
93	1.145757682
94	1.145355855
95	1.145069735
96	1.1447064
97	1.144397956
98	1.14392494
99	1.143353507
100	1.142994213
101	1.142708815
102	1.14231897
103	1.141871904
104	1.141579008
105	1.141284351
106	1.141121819
107	1.140889615
108	1.140611909
109	1.140151548
110	1.139935701
111	1.139547104
112	1.138951425
113	1.138655267
114	1.138152648
115	1.137683496
116	1.137301615
117	1.136971941
118	1.136800349
119	1.136564208
120	1.136259026
121	1.135731582
122	1.135299762
123	1.134868838
124	1.134402164
125	1.134115258
126	1.133673619
127	1.133301562
128	1.133050719
129	1.132497777
130	1.132204385
131	1.131676791
132	1.131105154
133	1.130552033
134	1.130153844
135	1.12973781
136	1.129307087
137	1.128942713
138	1.128476902
139	1.128120098
140	1.127888781
141	1.127537498
142	1.127104907
143	1.126865874
144	1.126461167
145	1.126049188
146	1.12567554
147	1.125012473
148	1.124696395
149	1.12433669
150	1.124010637
151	1.123681491
152	1.123306279
153	1.122983321
154	1.122519329
155	1.121996287
156	1.12173758
157	1.1212658
158	1.120757573
159	1.120385134
160	1.12001773
161	1.11977506
162	1.119456525
163	1.119075289
164	1.118684725
165	1.118331512
166	1.118062218
167	1.117695885
168	1.117295618
169	1.11687723
170	1.11649997
171	1.116172581
172	1.115769822
173	1.115302064
174	1.114912077
175	1.114611953
176	1.11426553
177	1.113829329
178	1.113475252
179	1.113158476
180	1.112788202
181	1.112474534
182	1.112136087
183	1.111730932
184	1.111528237
185	1.111323726
186	1.111016591
187	1.110730517
188	1.110383386
189	1.109966585
190	1.109618793
191	1.109347341
192	1.10900876
193	1.108696809
194	1.108409233
195	1.108087023
196	1.107769083
197	1.10757064
198	1.107232835
199	1.106867183
200	1.106496944
201	1.106188911
202	1.105730429
203	1.10553069
204	1.105209865
205	1.104873982
206	1.104717463
207	1.10444708
208	1.104199071
209	1.103860486
210	1.103573772
211	1.103222041
212	1.10292183
213	1.102623856
214	1.102424558
215	1.102182045
216	1.101855328
217	1.10160791
218	1.101435707
219	1.101209691
220	1.100877597
221	1.100579968
222	1.100145966
223	1.099830609
224	1.099550249
225	1.099137637
226	1.09871995
227	1.098476444
228	1.098086724
229	1.097835272
230	1.097567485
231	1.097318153
232	1.097051974
233	1.09671119
234	1.096516201
235	1.096205992
236	1.0960185
237	1.095809236
238	1.095455299
239	1.095030963
240	1.094745754
241	1.094422913
242	1.094052556
243	1.093825558
244	1.093484112
245	1.093289695
246	1.093009579
247	1.092723797
248	1.092426231
249	1.092242267
250	1.09190041
251	1.091653091
252	1.091422608
253	1.091178892
254	1.090918485
255	1.090659765
256	1.090317559
257	1.090083469
258	1.089840889
259	1.08960322
260	1.089213784
261	1.08889626
262	1.088695163
263	1.088425753
264	1.088135647
265	1.087759332
266	1.087520167
267	1.087176085
268	1.086907125
269	1.086541007
270	1.086251931
271	1.086033592
272	1.085722136
273	1.085480009
274	1.085125252
275	1.084866803
276	1.084664732
277	1.084389919
278	1.084149512
279	1.083855534
280	1.083690385
281	1.083399643
282	1.083226244
283	1.082994344
284	1.082694752
285	1.082351326
286	1.081997622
287	1.081767668
288	1.081593881
289	1.081231223
290	1.0810012
291	1.080780862
292	1.080541694
293	1.080329942
294	1.080016253
295	1.079667254
296	1.079518407
297	1.079223813
298	1.07893804
299	1.07872522
300	1.07851622
301	1.078352974
302	1.078135028
303	1.077923366
304	1.077683373
305	1.077375319
306	1.077105463
307	1.07678728
308	1.076349314
309	1.076113866
310	1.075851013
311	1.075615531
312	1.0753069
313	1.0751145
314	1.074919661
315	1.074787295
316	1.074539671
317	1.074298311
318	1.074004382
319	1.073760916
320	1.073398855
321	1.073223894
322	1.072936777
323	1.072571133
324	1.072268773
325	1.071982379
326	1.071759992
327	1.071447532
328	1.071290957
329	1.07097339
330	1.070727377
331	1.070540049
332	1.070378876
333	1.070244807
334	1.069918053
335	1.069417547
336	1.069182208
337	1.068910203
338	1.068705064
339	1.068433526
340	1.068068776
341	1.067751196
342	1.067515946
343	1.067203445
344	1.067001184
345	1.066740575
346	1.066385685
347	1.066149211
348	1.065879203
349	1.065548436
350	1.065393006
351	1.065081666
352	1.064878711
353	1.064546679
354	1.06419058
355	1.063897408
356	1.063631636
357	1.063359044
358	1.063167136
359	1.062944552
360	1.062676248
361	1.062289242
362	1.062055589
363	1.061871214
364	1.061511446
365	1.0612196
366	1.060931346
367	1.060751483
368	1.060410028
369	1.060118308
370	1.059944995
371	1.059727509
372	1.059410667
373	1.059116403
374	1.058958708
375	1.058709093
376	1.058460197
377	1.058138951
378	1.05790737
379	1.05777214
380	1.057569441
381	1.057225183
382	1.056976039
383	1.05666349
384	1.056408051
385	1.0562048
386	1.056032533
387	1.055669508
388	1.055448435
389	1.055212702
390	1.055054993
391	1.054884457
392	1.054621358
393	1.05433915
394	1.053972137
395	1.05371732
396	1.053512513
397	1.053129487
398	1.052871276
399	1.05265676
400	1.05232354
401	1.052128465
402	1.051863406
403	1.051655193
404	1.051419146
405	1.05119461
406	1.050920439
407	1.050677517
408	1.050538627
409	1.050384082
410	1.050102025
411	1.049774986
412	1.049582908
413	1.049272493
414	1.048978611
415	1.048806853
416	1.048553488
417	1.048361918
418	1.048132862
419	1.04792966
420	1.047658511
421	1.047457188
422	1.047199109
423	1.047047642
424	1.04676644
425	1.046499945
426	1.046234749
427	1.046060843
428	1.045794161
429	1.045572036
430	1.045424434
431	1.045157396
432	1.044885428
433	1.04468586
434	1.044447469
435	1.044212791
436	1.043939892
437	1.043747213
438	1.043571405
439	1.043380398
440	1.043192159
441	1.042952831
442	1.042684225
443	1.042413824
444	1.042140418
445	1.042042573
446	1.04175826
447	1.041604662
448	1.041347563
449	1.041139139
450	1.04092525
451	1.040802921
452	1.040612961
453	1.040364292
454	1.040157127
455	1.039998632
456	1.039857925
457	1.039557547
458	1.039344561
459	1.039223118
460	1.038968449
461	1.038753548
462	1.038476081
463	1.038275074
464	1.038028627
465	1.037856256
466	1.037712774
467	1.03745982
468	1.037242609
469	1.036995054
470	1.036782982
471	1.036509683
472	1.036346203
473	1.036072568
474	1.035849523
475	1.035696204
476	1.035447153
477	1.035127382
478	1.034870446
479	1.034704419
480	1.034530486
481	1.034336191
482	1.034126337
483	1.033952035
484	1.03378623
485	1.033585756
486	1.033356441
487	1.033165164
488	1.032990207
489	1.032760621
490	1.03250844
491	1.032310684
492	1.032120909
493	1.03184891
494	1.031664817
495	1.031493688
496	1.031286907
497	1.031136753
498	1.030875451
499	1.030658167
500	1.030368388
501	1.030152223
502	1.029970205
503	1.029848728
504	1.02961776
505	1.029479333
506	1.029235082
507	1.029029641
508	1.028878742
509	1.02866312
