iter	Passed	Remaining
0	286	286147
1	578	288840
2	963	320340
3	1316	327852
4	1642	326803
5	2074	343691
6	2571	364782
7	2890	358364
8	3279	361063
9	3579	354369
10	3970	356952
11	4274	351899
12	4552	345618
13	4841	340947
14	5148	338116
15	5386	331298
16	5660	327315
17	5964	325393
18	6193	319778
19	6513	319150
20	6765	315385
21	7018	311983
22	7301	310153
23	7597	308958
24	7855	306357
25	8113	303938
26	8355	301095
27	8637	299828
28	8971	300382
29	9187	297059
30	9474	296151
31	9695	293286
32	9968	292095
33	10218	290336
34	10435	287722
35	10655	285333
36	10911	283981
37	11180	283047
38	11477	282820
39	11696	280727
40	11960	279756
41	12249	279400
42	12453	277156
43	12888	280033
44	13145	278968
45	13389	277686
46	13598	275740
47	13805	273810
48	14095	273559
49	14323	272154
50	14585	271413
51	14855	270821
52	15107	269943
53	15400	269787
54	15647	268847
55	15835	266937
56	16104	266432
57	16389	266186
58	16703	266411
59	16891	264636
60	17151	264014
61	17420	263550
62	17710	263406
63	18005	263330
64	18259	262651
65	18469	261369
66	18700	260405
67	18925	259394
68	19216	259285
69	19440	258274
70	19652	257147
71	19859	255961
72	20088	255090
73	20397	255243
74	20703	255340
75	20938	254567
76	21234	254541
77	21479	253899
78	22006	256558
79	22250	255879
80	22554	255901
81	22788	255121
82	23168	255967
83	23485	256106
84	23796	256159
85	24042	255523
86	24322	255251
87	24628	255242
88	24936	255246
89	25204	254850
90	25443	254155
91	25715	253802
92	25985	253428
93	26331	253793
94	26626	253654
95	26852	252858
96	27135	252607
97	27415	252331
98	27770	252741
99	28119	253072
100	28391	252710
101	28668	252393
102	29049	252982
103	29301	252443
104	29548	251867
105	29831	251594
106	30152	251642
107	30465	251621
108	30710	251040
109	30975	250620
110	31202	249900
111	31548	250130
112	31790	249540
113	32055	249131
114	32365	249071
115	32724	249382
116	33132	250048
117	33386	249548
118	33647	249104
119	33944	248923
120	34234	248697
121	34529	248496
122	34900	248842
123	35253	249049
124	35609	249264
125	35952	249383
126	36264	249281
127	36559	249060
128	36896	249119
129	37378	250150
130	37622	249574
131	37950	249550
132	38324	249832
133	38650	249786
134	38950	249574
135	39230	249227
136	39526	248989
137	39778	248472
138	40141	248644
139	40409	248227
140	40640	247587
141	40980	247614
142	41309	247565
143	41589	247225
144	41868	246878
145	42218	246949
146	42485	246533
147	42887	246894
148	43171	246569
149	43482	246398
150	43727	245858
151	44087	245962
152	44394	245763
153	44658	245332
154	45026	245468
155	45408	245669
156	45645	245091
157	45982	245045
158	46304	244921
159	46638	244854
160	46978	244813
161	47234	244334
162	47517	243999
163	47770	243510
164	48175	243796
165	48583	244086
166	48894	243885
167	49164	243479
168	49438	243096
169	49765	242974
170	50103	242898
171	50372	242491
172	50689	242312
173	51114	242648
174	51426	242439
175	51695	242028
176	52084	242176
177	52352	241764
178	52594	241228
179	52909	241032
180	53198	240715
181	53481	240373
182	53813	240251
183	54176	240258
184	54471	239970
185	54702	239397
186	54966	238970
187	55220	238506
188	55518	238228
189	55818	237962
190	56094	237593
191	56414	237410
192	56726	237191
193	57125	237337
194	57444	237143
195	57722	236780
196	58086	236770
197	58362	236397
198	58607	235901
199	58878	235512
200	59196	235311
201	59566	235318
202	59966	235434
203	60208	234931
204	60518	234692
205	60833	234473
206	61087	234022
207	61335	233545
208	61585	233082
209	61926	232960
210	62222	232669
211	62504	232326
212	62768	231919
213	63070	231651
214	63347	231292
215	63627	230945
216	63895	230554
217	64136	230067
218	64466	229901
219	64800	229747
220	65151	229650
